0.01	2.6928e-11
0.02	1.9844e-10
0.03	4.0624e-10
0.04	5.6344e-10
0.05	6.9146e-10
0.06	8.1014e-10
0.07	9.2015e-10
0.08	9.6987e-10
0.09	9.9989e-10
0.10	1.0094e-09
0.11	1.0109e-09
0.12	1.0435e-09
0.13	1.0376e-09
0.14	1.0476e-09
0.15	1.0216e-09
0.16	9.9741e-10
0.17	9.9788e-10
0.18	9.7199e-10
0.19	9.4195e-10
0.20	9.1939e-10
0.21	9.1673e-10
0.22	9.0266e-10
0.23	9.0884e-10
0.24	8.7393e-10
0.25	8.5484e-10
0.26	8.2795e-10
0.27	8.2171e-10
0.28	7.8139e-10
0.29	7.3687e-10
0.30	7.2634e-10
0.31	6.6317e-10
0.32	6.3633e-10
0.33	5.7758e-10
0.34	5.2886e-10
0.35	5.0892e-10
0.36	4.5718e-10
0.37	4.3535e-10
0.38	4.0847e-10
0.39	3.9191e-10
0.40	3.5405e-10
0.41	3.3982e-10
0.42	3.1991e-10
0.43	3.0906e-10
0.44	2.9646e-10
0.45	2.6705e-10
0.46	2.5566e-10
0.47	2.5296e-10
0.48	2.4538e-10
0.49	2.2071e-10
0.50	2.3842e-10
0.51	2.1669e-10
0.52	2.0732e-10
0.53	1.9861e-10
0.54	1.9469e-10
0.55	1.8589e-10
0.56	1.7510e-10
0.57	1.6837e-10
0.58	1.6121e-10
0.59	1.5999e-10
0.60	1.5049e-10
0.61	1.5386e-10
0.62	1.5049e-10
0.63	1.4188e-10
0.64	1.3296e-10
0.65	1.2312e-10
0.66	1.3135e-10
0.67	1.0951e-10
0.68	1.0307e-10
0.69	1.1160e-10
0.70	9.9208e-11
0.71	1.1519e-10
0.72	9.3261e-11
0.73	8.0011e-11
0.74	8.2350e-11
0.75	9.4788e-11
0.76	9.6176e-11
0.77	8.7114e-11
0.78	8.1055e-11
0.79	8.2768e-11
0.80	8.2361e-11
0.81	7.3601e-11
0.82	7.8114e-11
0.83	7.7000e-11
0.84	7.3832e-11
0.85	7.7600e-11
0.86	7.0474e-11
0.87	6.3962e-11
0.88	7.0732e-11
0.89	7.5240e-11
0.90	7.3747e-11
0.91	6.0214e-11
0.92	7.1892e-11
0.93	6.1150e-11
0.94	7.7199e-11
0.95	6.4951e-11
0.96	6.6770e-11
0.97	6.3500e-11
0.98	6.0824e-11
0.99	5.7284e-11
1.00	5.9013e-11
1.01	5.3977e-11
1.02	6.2810e-11
1.03	5.9265e-11
1.04	5.6624e-11
1.05	5.5029e-11
1.06	5.3787e-11
1.07	5.5621e-11
1.08	7.0179e-11
1.09	5.9588e-11
1.10	5.0900e-11
1.11	5.1374e-11
1.12	5.7009e-11
1.13	4.7869e-11
1.14	5.3205e-11
1.15	5.2473e-11
1.16	4.6634e-11
1.17	5.2908e-11
1.18	4.5528e-11
1.19	4.5384e-11
1.20	5.0287e-11
1.21	5.1144e-11
1.22	4.6361e-11
1.23	4.8772e-11
1.24	4.2311e-11
1.25	5.3910e-11
1.26	4.0431e-11
1.27	4.3887e-11
1.28	4.2951e-11
1.29	4.6996e-11
1.30	5.1708e-11
1.31	3.9522e-11
1.32	4.9499e-11
1.33	4.0065e-11
1.34	5.0740e-11
1.35	4.2778e-11
1.36	4.3550e-11
1.37	4.7200e-11
1.38	4.9887e-11
1.39	4.5616e-11
1.40	4.9934e-11
1.41	4.1906e-11
1.42	3.9897e-11
1.43	4.5842e-11
1.44	4.8232e-11
1.45	4.4593e-11
1.46	4.6506e-11
1.47	5.2028e-11
1.48	5.3832e-11
1.49	3.8678e-11
1.50	3.9197e-11
1.51	4.5128e-11
1.52	4.2044e-11
1.53	4.2696e-11
1.54	4.2924e-11
1.55	4.9150e-11
1.56	4.3225e-11
1.57	4.3907e-11
1.58	4.4915e-11
